date,league,home_team,away_team,lambda_home_base,lambda_away_base,lambda_home_markov,lambda_away_markov,p_home_win_markov,p_draw_markov,p_away_win_markov,p_over_2_5_markov,p_btts_yes_markov,delta_lambda_total,markov_weight_used
2025-07-15,International Friendly,Norway,England,1.1972,2.028,1.2041,2.0396,0.2085,0.2374,0.5541,0.629,0.6214,0.01849999999999996,"piecewise: early=0.20, mid=0.15, late=0.10"
2025-07-15,International Friendly,Argentina,Switzerland,2.0854,1.1101,2.0973,1.1165,0.5864,0.2307,0.183,0.6228,0.6022,0.018299999999999983,"piecewise: early=0.20, mid=0.15, late=0.10"
2025-07-15,International Friendly,Argentina,Egypt,2.9196,0.8722,2.9363,0.8772,0.7822,0.1431,0.0747,0.7324,0.5604,0.021700000000000497,"piecewise: early=0.20, mid=0.15, late=0.10"
2025-07-15,International Friendly,Cape Verde,Argentina,1.12,2.2738,1.1264,2.2868,0.1641,0.213,0.6228,0.6626,0.6181,0.01939999999999964,"piecewise: early=0.20, mid=0.15, late=0.10"
