state_t,next_state_t1,transition_probability,sample_size,warning
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.021277,47,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.308511,47,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.074468,47,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.031915,47,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.029851,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.089552,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.044776,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.149254,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=1_plus|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.029851,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=1_plus|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.044776,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.151786,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.026786,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.017857,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.3125,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.026786,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.098214,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.037037,7,True
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.12963,7,True
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.013072,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.013072,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.013072,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.052288,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.124183,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.091503,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.431373,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.227273,19,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.090909,19,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.08,3,True
