match_id,home_team,away_team,competition,date,kickoff_datetime,neutral_venue
760512,Norway,Inglaterra,FIFA World Cup,2026-07-11,2026-07-11 21:00,
760513,Argentina,Suiza,FIFA World Cup,2026-07-11,2026-07-12 01:00,
