match_id,home_team,away_team,competition,date,kickoff_datetime,neutral_venue
760504,Brasil,Norway,FIFA World Cup,2026-07-05,2026-07-05 20:00,
760505,México,Inglaterra,FIFA World Cup,2026-07-05,2026-07-06 01:00,
